# key	cr	status	commit	note   (edit this file; LEDGER.md is generated)
A9W-01	CR-26	todo		
A9W-02	CR-17	todo		
A9W-03	CR-17	todo		
A9W-04	CR-12	todo		
A9W-05	CR-13	todo		
A9W-06	CR-23	todo		
A9W-07	CR-31	todo		
A9W-08	CR-17	todo		
A9W-09	CR-31	todo		
A9W-10	CR-23	todo		
A9W-11	CR-31	todo		
A9W-12	CR-09	todo		
A9W-13	CR-22	todo		
A9W-14	CR-08	todo		
A9W-15	CR-03	todo		
A9W-16	CR-31	todo		
A9W-17	CR-34	todo		
A9W-18		withdrawn		CPU is not a lever (README §3); negligible against LLM latency
A9W-19	CR-02	done	72265dfc	size-ratchet-check in pretest; known-positive probe caught +1 line in runAgent9
A9W-D01	CR-07	todo		
A9W-D02	CR-07	todo		
A9W-D03	CR-07	todo		
A9W-D04	CR-17	todo		
A9W-D05	CR-07	todo		
A9W-D06	CR-33	todo		
A9W-D07	CR-07	todo		
A9W-D08	CR-07	todo		
A9W-D09	CR-07	todo		
A9W-D10	CR-12	todo		
A9W-Q01	CR-17	todo		
A9W-Q02	CR-17	todo		
A9W-Q03	CR-30	todo		
A9W-Q04	CR-12	todo		
A9W-Q05	CR-33	todo		
A9G-01	CR-26	todo		
A9G-02	CR-26	todo		
A9G-03	CR-30	todo		
A9G-04	CR-15	todo		
A9G-05	CR-26	todo		
A9G-06	CR-29	todo		
A9G-07	CR-29	todo		
A9G-08	CR-22	todo		
A9G-09	CR-17	todo		
A9G-10	CR-26	todo		
A9G-11	CR-16	todo		
A9G-12	CR-08	todo		
A9G-13	CR-30	todo		
A9G-14	CR-13	todo		
A9G-15	CR-11	todo		
A9G-16	CR-28	todo		
A9G-17	CR-31	todo		
A9G-D01	CR-30	todo		
A9G-D02	CR-32	todo		
A9G-D03	CR-17	todo		
A9G-D04	CR-06	todo		
A9G-D05	CR-17	todo		
A9G-D06	CR-22	todo		
A9G-D07	CR-15	todo		
A9G-D08	CR-29	todo		
A9G-D09	CR-19	todo		
A9G-D10	CR-26	todo		
A9G-D11	CR-10	todo		
A9G-D12	CR-08	todo		
A9G-Q01	CR-30	todo		
A9G-Q02	CR-17	todo		
A9G-Q03	CR-11	todo		
A9G-Q04	CR-29	todo		
A9G-Q05	CR-30	todo		
A9G-Q06	CR-15	todo		
A9P-01	CR-17	todo		
A9P-02	CR-27	todo		
A9P-03	CR-28	todo		
A9P-04	CR-28	todo		
A9P-05	CR-27	todo		
A9P-06	CR-27	todo		
